Zip,Latitude,Longitude
22801,38.403533,-78.874119
22827,38.410693,-78.59644
22844,38.661561,-78.658119
22903,38.006972,-78.59506
22937,37.797229,-78.619207
22952,37.963562,-78.962741
22972,38.215776,-78.230285
23011,37.477354,-76.81245
23035,37.489338,-76.390866
23059,37.702252,-77.573995
23070,37.552303,-76.389007
23089,37.455795,-76.903501
23111,37.613551,-77.243019
23124,37.55095,-77.044042
23146,37.723428,-77.710398
23169,37.603451,-76.457239
23192,37.820363,-77.680814
23228,37.626617,-77.492834
23250,37.504727,-77.320875
23313,37.19973,-75.945635
23336,37.954605,-75.334522
23395,37.976304,-75.46059
23415,37.969553,-75.534703
23430,37.001261,-76.655932
23442,37.904756,-75.575437
23461,36.775402,-75.96325
23505,36.91422,-76.289405
23551,36.924048,-76.288625
23661,37.009301,-76.386177
23693,37.123066,-76.447129
23803,37.209277,-77.497238
23832,37.38785,-77.592108
23843,36.84515,-77.822447
23866,36.923676,-76.862401
23882,36.926173,-77.421687
23894,37.122207,-77.820822
23921,37.586321,-78.623535
23942,37.134366,-78.289196
23962,36.99873,-78.666506
24012,37.310464,-79.903046
24054,36.667804,-79.706976
24070,37.356083,-80.22589
24085,37.679371,-79.821548
24101,37.173555,-79.796387
24128,37.339994,-80.482544
24141,37.096142,-80.568655
24165,36.584897,-80.051924
24201,36.610715,-82.17005
24225,36.991715,-82.141851
24246,36.866505,-82.745573
24269,37.072772,-82.380679
24283,36.939782,-82.332939
24316,36.955705,-81.668988
24330,36.725798,-81.020688
24360,36.933276,-80.897565
24380,36.859701,-80.508764
24422,37.830504,-79.759502
24441,38.226067,-78.824873
24465,38.384565,-79.647758
24483,37.788924,-79.251042
24520,36.586589,-79.029748
24534,36.867415,-78.770512
24554,37.120045,-79.071619
24570,37.34646,-79.424457
24588,37.262152,-79.096234
24601,37.193732,-81.649243
24614,37.29865,-82.071085
24641,37.111813,-81.802446
24716,37.480043,-81.371826
24740,37.373457,-81.004791
24822,37.647027,-81.697268
24843,37.487144,-81.7101
24854,37.736493,-81.572685
24871,37.359301,-81.468304
24887,37.373345,-81.404173
24920,38.580079,-79.704212
24945,37.541978,-80.677193
24976,37.656959,-80.51171
25007,37.82484,-81.430458
25028,37.947147,-81.725572
25045,38.447483,-81.329322
25061,38.174553,-81.439835
25082,38.604207,-82.031043
25107,38.229749,-81.621635
25119,38.041356,-81.276239
25136,38.150045,-81.327349
25156,38.183259,-81.336855
25174,37.865661,-81.410962
25202,38.316375,-81.859088
25234,38.808318,-81.133343
25252,38.819778,-81.652301
25268,38.717785,-81.074536
25303,38.359561,-81.68613
25320,38.539851,-81.633191
25422,39.544988,-78.354289
25442,39.372847,-77.832749
25507,38.395292,-82.562736
25523,38.278729,-82.049132
25545,38.458992,-82.21744
25570,38.218917,-82.425297
25624,37.899691,-81.981116
25644,37.704742,-82.022096
25666,37.926751,-82.248845
25692,37.63629,-82.109819
25811,37.562416,-81.296146
25831,37.959313,-80.930792
25846,37.906679,-81.132685
25868,38.086709,-80.958315
25901,37.950702,-81.11705
25917,37.991169,-81.218273
25951,37.662049,-80.866432
25981,38.097064,-80.711079
26035,40.3449,-80.553539
26056,40.531275,-80.577127
26133,39.123282,-81.672414
26148,39.058499,-81.182808
26167,39.538939,-80.743385
26202,38.21016,-80.629572
26224,38.74031,-80.182939
26254,38.880658,-79.662794
26269,39.10561,-79.620053
26285,38.912935,-79.937516
26320,39.404133,-80.812146
26342,39.033601,-80.85483
26366,39.381255,-80.334489
26404,39.335834,-80.306514
26422,39.29449,-80.443881
26440,39.321695,-79.918717
26508,39.602633,-79.895396
26547,39.511738,-79.813851
26574,39.588251,-80.188592
26591,39.451607,-80.296284
26627,38.752473,-80.585064
26678,38.178882,-80.916062
26710,39.301755,-78.967602
26739,39.24835,-79.243252
26801,39.047799,-78.804288
26818,39.087625,-79.016499
26866,38.800613,-79.234311
27017,36.382016,-80.756218
27028,35.922771,-80.580443
27050,36.226442,-80.409707
27106,36.14391,-80.323157
27209,35.342999,-79.753291
27242,35.329657,-79.648955
27263,35.911522,-79.936799
27295,35.871767,-80.31018
27313,35.931448,-79.75805
27340,35.945873,-79.317167
27360,35.86058,-80.099288
27407,36.008599,-79.87816
27507,36.513542,-78.569494
27519,35.808973,-78.886585
27530,35.381174,-78.062514
27545,35.7835,-78.47814
27562,35.640431,-78.990017
27577,35.48983,-78.332811
27601,35.773632,-78.634457
27613,35.926102,-78.711414
27709,35.924527,-78.832699
27809,36.016777,-77.74162
27821,35.322066,-76.874087
27831,36.463087,-77.570553
27845,36.371267,-77.43999
27857,35.972793,-77.286253
27870,36.418871,-77.715729
27881,35.978414,-77.436573
27892,35.812308,-77.051639
27920,35.259393,-75.553139
27932,36.100786,-76.610814
27946,36.363435,-76.601536
27959,35.886943,-75.606402
27973,36.371209,-76.055514
27986,36.388982,-76.918338
28020,35.524983,-81.64132
28037,35.495486,-81.018484
28075,35.302699,-80.639848
28089,35.318233,-81.659574
28105,35.115434,-80.713498
28120,35.328685,-81.026385
28138,35.514441,-80.437354
28164,35.389444,-81.037135
28204,35.21462,-80.827014
28214,35.276005,-80.967658
28273,35.127358,-80.946846
28307,35.138559,-78.981887
28325,35.153922,-78.104138
28339,35.31054,-78.732747
28350,35.243547,-79.314141
28366,35.230228,-78.362014
28379,34.930868,-79.78004
28393,34.981087,-78.18948
28411,34.301829,-77.793066
28430,34.303437,-78.945367
28442,34.282924,-78.613428
28453,34.886439,-78.076256
28464,34.78224,-78.021091
28480,34.225734,-77.797334
28518,34.894823,-77.747493
28529,35.070527,-76.85476
28544,34.71809,-77.308669
28560,35.126695,-76.977628
28579,34.759099,-76.510294
28590,35.520683,-77.416661
28611,36.010973,-81.735233
28623,36.528827,-80.973699
28635,36.305463,-81.126045
28647,35.938023,-81.973061
28660,35.968615,-80.856248
28672,36.483379,-81.326672
28684,36.334451,-81.60677
28702,35.405602,-83.605242
28715,35.511966,-82.711701
28726,35.280999,-82.416555
28740,36.091275,-82.272981
28752,35.709599,-82.035573
28768,35.324165,-82.706753
28782,35.234025,-82.149038
28803,35.531703,-82.523021
29001,33.786644,-80.174065
29030,33.576312,-80.647573
29044,33.92571,-80.695204
29056,33.608638,-80.005987
29072,34.002273,-81.27725
29102,33.641983,-80.188481
29117,33.498262,-80.848831
29133,33.358911,-80.803127
29152,33.972657,-80.467319
29169,33.997503,-81.097406
29205,33.990058,-80.997241
29301,34.934028,-82.010697
29324,34.983686,-81.826635
29340,34.972313,-81.585917
29365,34.980991,-82.171853
